#Game Name,Date,Time (EST),Team1Name,Team1Id,Team2Name,Team2Id
Gildan New Mexico Bowl,20111217,1400,Temple,1690,Wyoming,1811
Famous Idaho Potato Bowl,20111217,1750,Ohio,1519,Utah St.,1731
R+L Carriers New Orleans Bowl,20111217,2100,San Diego St.,1626,LA-Lafayette,1671
Beef 'O' Brady's St. Petersburg Bowl,20111220,2000,FIU,1231,Marshall,1388
San Diego Country Credit Union Poinettia Bowl,20111221,2000,TCU,1698,Louisiana Tech,1366
MAACO Las Vegas Bowl,20111222,2000,Arizona St.,1028,Boise St.,1066
Sheraton Hawaii Bowl,20111224,2000,Nevada,1466,Southern Miss.,1664
AdvoCare V100 Independence Bowl,20111226,1700,Missouri,1434,North Carolina,1457
Little Caesar's Bowl,20111227,1630,Western Mich.,1774,Purdue,1559
Belk Bowl,20111227,2000,Louisville,1367,North Carolina St.,1490
Military Bowl Presented by Northrop Grumman,20111228,1630,Toledo,1709,Air Force,1721
Bridgepoint Education Holiday Bowl,20111228,2000,California,1107,Texas,1703
Champs Sports Bowl,20111229,1730,Florida St.,1234,Notre Dame,1513
Valero Alamo Bowl,20111229,2100,Washington,1756,Baylor,1051
Bell Helicopter Armed Forces Bowl,20111230,1200,BYU,1077,Tulsa,1719
New Era Pinstripe Bowl,20111230,1520,Rutgers,1587,Iowa State,1311
Franklin American Mortgage Music City Bowl,20111230,1840,Mississippi St.,1430,Wake Forest,1749
Insight Bowl,20111230,2200,Iowa,1312,Oklahoma,1522
Meineke Car Care of Texas Bowl,20111231,1200,Texas A&M,1697,Northwestern,1509
Hyundai Sun Bowl,20111231,1400,Georgia Tech,1255,Utah,1732
AutoZone Liberty Bowl,20111231,1530,Cincinnati,1140,Vanderbilt,1736
Kraft Fight Hunger Bowl,20111231,1930,Illinois,1301,UCLA,1110
Chick-fil-A Bowl,20111231,1930,Virginia,1746,Auburn,1037
TicketCity Bowl,20120102,1200,Houston,1288,Penn State,1539
Outback Bowl,20120102,1300,Michigan St.,1416,Georgia,1257
Capital One Bowl,20120102,1300,Nebraska,1463,South Carolina,1648
Taxslayer.com Gator Bowl,20120102,1300,Ohio St.,1518,Florida,1235
Rose Bowl Game presented by Visio,20120102,1700,Wisconsin,1796,Oregon,1529
Tostitos Fiesta Bowl,20120102,2030,Stanford,1674,Oklahoma St.,1521
Allstate Sugar Bowl,20120103,2030,Michigan,1418,Virginia Tech,1742
Discover Orange Bowl,20120104,2030,West Virginia,1768,Clemson,1147
AT&T Cotton Bowl,20120106,2000,Kansas St.,1327,Arkansas,1031
BBVA Compass Bowl,20120107,1300,SMU,1663,Pittsburgh,1545
GoDaddy.com Bowl,20120108,2100,Arkansas St.,1030,Northern Ill.,1503
Allstate BCS National Championship Game,20120109,2030,LSU,1365,Alabama,1008
