#Week,Date,GameID,Site,NumPoss,HomeID,HomeName,HomeScore,AwayID,AwayName,AwayScore,HomeYards,AwayYards,HomePass,AwayPass,HomeRush,AwayRush,HomeTOs,AwayTOs,HomePen,AwayPen,HomePassPlays,AwayPassPlays,HomeRunPlays,AwayRunPlays,HomeFirstDowns,AwayFirstDowns,HomeScores,AwayScores
52,20010823,20010823-1367-1472,LOUISVILLE,177,1367,LOUISVILLE,45,1472,NEW MEXICO ST.,24,619,665,272,137,101,407,2,4,8,10,32,16,30,68,18,28,7,4
52,20010825,20010825-1077-1718,BRIGHAM YOUNG,206,1077,BRIGHAM YOUNG,70,1718,TULANE,35,978,641,297,289,437,219,1,1,7,5,33,49,49,43,30,27,10,5
52,20010825,20010825-1463-1698,NEBRASKA,150,1463,NEBRASKA,21,1698,TCU,7,431,256,151,130,159,56,2,1,5,11,18,22,50,28,16,6,3,1
52,20010825,20010825-1522-1457,OKLAHOMA,180,1522,OKLAHOMA,41,1457,NORTH CAROLINA,27,551,490,178,226,108,64,1,5,10,5,31,41,33,35,12,20,7,4
52,20010825,20010825-1796-1746,WISCONSIN,170,1796,WISCONSIN,26,1746,VIRGINIA,17,480,497,191,178,228,128,1,3,5,7,24,32,51,33,20,16,5,3
52,20010826,20010826-1157-1096,COLORADO,187,1157,COLORADO,22,1096,FRESNO ST.,24,560,352,346,198,66,89,5,0,8,13,51,36,31,35,23,17,4,4
52,20010826,20010826-1255-1688,NEUTRAL,155,1255,GEORGIA TECH,13,1688,SYRACUSE,7,443,270,224,183,125,59,0,1,4,8,26,32,46,26,19,13,3,1
53,20010830,20010830-1005-1519,AKRON,159,1005,AKRON,31,1519,OHIO,29,608,494,217,104,290,339,2,0,3,4,24,11,46,60,27,31,5,6
53,20010830,20010830-1031-1465,ARKANSAS,160,1031,ARKANSAS,14,1465,UNLV,10,263,433,89,40,25,258,4,4,6,10,32,16,26,54,5,11,2,2
53,20010830,20010830-1086-1587,BUFFALO,169,1086,BUFFALO,15,1587,RUTGERS,31,457,437,180,157,55,196,2,3,11,10,40,23,25,45,16,15,2,5
53,20010830,20010830-1295-1754,NEUTRAL,174,1295,IDAHO,7,1754,WASHINGTON ST.,36,315,647,72,303,74,241,0,1,11,15,30,32,24,49,8,28,1,7
