20190907,CLEMSON,1147,1697,CLEMSON,TEXAS A&M
20190907,TEXAS TECH,1700,1704,TEXAS TECH,UTEP
20190907,BAYLOR,1051,1706,BAYLOR,UTSA
20190907,AUBURN,1037,1718,AUBURN,TULANE
20190907,SAN JOSE ST.,1630,1719,SAN JOSE ST.,TULSA
20190907,MICHIGAN,1418,1725,MICHIGAN,ARMY
20190907,PURDUE,1559,1736,PURDUE,VANDERBILT
20190907,MISSOURI,1434,1768,MISSOURI,WEST VIRGINIA
20190907,FIU,1231,1772,FIU,WESTERN KY.
20190907,MICHIGAN ST.,1416,1774,MICHIGAN ST.,WESTERN MICH.
20190907,TEXAS ST.,1670,1811,TEXAS ST.,WYOMING
20190913,BOSTON COLLEGE,1067,1328,BOSTON COLLEGE,KANSAS
20190913,WAKE FOREST,1749,1457,WAKE FOREST,NORTH CAROLINA
20190913,NEUTRAL,1288,1754,HOUSTON,WASHINGTON ST.
20190914,CENTRAL MICH.,1129,1005,CENTRAL MICH.,AKRON
20190914,SOUTH CAROLINA,1648,1008,SOUTH CAROLINA,ALABAMA
20190914,MICHIGAN ST.,1416,1028,MICHIGAN ST.,ARIZONA ST.
20190914,GEORGIA,1257,1030,GEORGIA,ARKANSAS ST.
20190914,LIBERTY,1355,1086,LIBERTY,BUFFALO
20190914,SYRACUSE,1688,1147,SYRACUSE,CLEMSON
20190914,ARKANSAS,1031,1156,ARKANSAS,COLORADO ST.
20190914,MIDDLE TENN.,1419,1193,MIDDLE TENN.,DUKE
20190914,NAVY,1726,1196,NAVY,EAST CAROLINA
20190914,ILLINOIS,1301,1204,ILLINOIS,EASTERN MICH.
20190914,BALL ST.,1047,1229,BALL ST.,FLA. ATLANTIC
20190914,VIRGINIA,1746,1234,VIRGINIA,FLORIDA ST.
20190914,KENTUCKY,1334,1235,KENTUCKY,FLORIDA
20190914,MINNESOTA,1428,1253,MINNESOTA,GA. SOUTHERN
20190914,WESTERN MICH.,1774,1254,WESTERN MICH.,GEORGIA STATE
20190914,WASHINGTON,1756,1277,WASHINGTON,HAWAII
20190914,IOWA ST.,1311,1312,IOWA ST.,IOWA
20190914,MISSISSIPPI ST.,1430,1327,MISSISSIPPI ST.,KANSAS ST.
20190914,AUBURN,1037,1331,AUBURN,KENT ST.
20190914,BOWLING GREEN,1071,1366,BOWLING GREEN,LOUISIANA TECH
20190914,NEUTRAL,1772,1367,WESTERN KY.,LOUISVILLE
20190914,TEMPLE,1690,1392,TEMPLE,MARYLAND
