20190831-1005,3,78,244,128,64,0,1,5,28,38,16,1
20190907-1005,20,90,420,359,34,1,2,6,44,29,16,3
20190914-1005,24,91,512,287,42,0,1,8,47,29,16,4
20190921-1005,7,61,327,203,39,1,1,6,32,18,10,1
20190928-1005,29,80,470,335,71,1,1,5,42,27,22,4
20191012-1005,3,72,421,202,95,0,1,11,29,32,18,1
20191019-1005,0,73,192,193,3,0,3,9,39,21,11,0
20191026-1005,0,63,243,51,94,0,1,7,26,25,7,0
20191102-1005,6,70,219,71,29,0,1,6,26,31,7,2
20191112-1005,14,66,461,288,54,0,0,4,33,23,14,2
20191120-1005,17,71,299,197,5,2,0,9,25,29,11,3
20191126-1005,3,66,159,33,41,0,0,4,27,25,7,1
20190831-1008,42,93,534,367,145,2,1,8,36,42,30,6
20190907-1008,62,82,657,285,318,1,0,4,33,32,23,10
20190914-1008,47,80,589,495,76,1,0,11,39,25,25,8
20190921-1008,49,70,555,338,176,1,0,1,25,35,24,7
20190928-1008,59,85,738,418,155,1,1,10,37,30,28,9
20191012-1008,47,81,759,293,155,0,0,11,34,31,25,8
20191019-1008,35,72,555,233,140,1,0,8,24,34,23,5
20191026-1008,48,82,607,280,179,3,0,6,30,38,23,8
20191109-1008,41,81,711,418,123,0,1,7,40,28,22,6
20191116-1008,38,72,548,350,160,1,0,7,29,31,24,6
20191123-1008,66,71,742,310,231,4,1,4,15,42,23,10
20191130-1008,45,95,692,335,180,0,0,13,39,38,28,7
20190829-1009,24,83,468,114,176,1,2,8,20,46,16,4
20190907-1009,31,74,420,319,83,0,0,4,24,34,15,5
20190921-1009,35,83,544,313,201,0,0,4,28,45,26,5
20190928-1009,13,79,359,181,117,0,0,7,31,39,20,3
20191005-1009,35,80,474,285,127,0,0,13,26,37,17,5
20191012-1009,33,79,535,294,198,0,1,6,26,41,26,7
20191019-1009,38,88,477,260,175,1,1,6,29,44,21,6
20191102-1009,7,66,260,174,63,1,1,5,30,25,12,1
20191109-1009,2,69,234,103,70,0,0,2,25,33,10,0
20191116-1009,37,74,460,96,353,1,0,9,10,49,17,7
20191123-1009,20,81,406,187,166,0,0,8,23,44,17,4
20191130-1009,26,77,396,107,203,2,1,10,13,48,20,5
20191207-1009,6,75,241,84,139,1,0,11,19,40,14,2
20190831-1027,42,78,500,167,277,0,0,5,25,41,25,6
20190907-1027,56,80,607,182,276,1,0,13,20,39,16,8
20190921-1027,34,79,443,224,161,2,0,6,29,35,16,6
20190928-1027,56,79,640,246,184,1,0,7,24,40,20,8
20191009-1027,17,81,353,147,196,0,0,3,17,53,21,3
20191019-1027,52,99,623,270,302,2,1,5,32,52,27,8
20191026-1027,30,92,537,132,313,0,0,10,28,45,21,6
20191031-1027,21,95,419,271,152,0,0,4,51,30,23,3
20191109-1027,20,73,343,105,97,1,0,8,16,41,11,4
20191116-1027,56,98,622,273,280,2,0,3,34,46,25,8
20191123-1027,35,79,546,188,280,1,1,5,17,49,23,5
20191129-1027,48,87,552,328,194,2,0,9,35,37,27,7
20191207-1027,45,83,460,149,267,1,1,6,17,51,20,7
20190829-1028,30,85,456,284,171,0,1,6,24,46,18,6
20190906-1028,19,79,431,304,91,1,1,4,27,39,15,5
20190914-1028,10,65,233,140,76,0,0,7,26,26,14,2
20190921-1028,31,77,509,345,108,0,0,3,39,28,21,5
20190927-1028,24,84,454,174,191,1,1,5,24,48,19,4
20191012-1028,38,82,583,363,169,0,0,5,36,32,25,6
20191019-1028,3,68,239,25,111,1,1,12,18,33,8,1
20191026-1028,32,70,467,267,116,0,1,9,29,28,18,5
20191109-1028,26,80,532,292,47,1,1,9,44,21,18,4
20191116-1028,34,74,597,334,74,0,2,4,36,25,19,5
20191123-1028,31,92,607,408,127,2,0,12,33,41,22,6
20191130-1028,24,87,356,104,234,3,0,4,19,55,23,5
20190824-1029,38,88,638,361,178,4,0,10,39,32,27,6
20190907-1029,65,91,831,289,431,2,0,11,28,46,27,9
20190914-1029,28,97,525,185,314,2,1,5,23,61,23,4
20190928-1029,20,90,463,352,99,1,0,10,44,30,21,4
20191005-1029,35,78,567,404,83,0,0,1,41,26,22,5
20191012-1029,27,87,371,209,151,0,3,5,33,39,18,5
20191019-1029,14,89,552,243,142,0,2,5,37,38,22,2
20191026-1029,31,89,549,273,222,0,0,4,40,37,29,5
20191102-1029,38,101,602,378,148,0,0,5,41,47,33,7
20191116-1029,6,84,380,132,108,1,0,8,30,39,18,2
20191123-1029,7,62,269,135,61,1,0,4,27,25,11,1
20191130-1029,14,82,478,228,155,0,0,8,38,32,19,2
20190831-1030,30,90,599,324,90,1,2,11,50,24,25,4
20190907-1030,43,95,598,284,214,1,0,4,37,43,23,8
20190914-1030,0,81,240,177,43,0,0,2,40,28,14,0
20190921-1030,41,76,574,357,117,1,0,8,33,27,22,7
20190928-1030,50,90,662,455,103,1,2,13,36,34,24,8
20191005-1030,38,72,580,306,115,0,0,9,34,22,22,6
20191017-1030,20,96,552,303,170,1,0,7,34,49,27,4
20191026-1030,38,97,486,158,206,2,0,5,28,53,21,6
20191102-1030,48,90,553,307,207,0,1,5,28,46,21,8
20191116-1030,28,73,554,297,71,2,3,14,35,22,15,4
20191123-1030,38,70,593,354,91,0,1,7,24,32,21,6
20191129-1030,30,91,528,342,95,1,1,4,38,39,21,6
20190831-1031,20,90,476,191,204,3,0,7,35,42,26,4
20190907-1031,17,81,534,300,61,0,1,7,41,26,18,3
20190914-1031,55,86,590,305,215,0,1,5,35,35,23,9
20190921-1031,24,93,541,356,131,1,0,6,50,32,26,4
20190928-1031,27,84,448,297,98,1,0,8,44,26,26,5
20191012-1031,20,68,369,122,183,0,0,5,27,30,16,4
20191019-1031,10,80,289,182,52,0,2,4,40,28,14,2
20191026-1031,7,64,262,107,106,0,1,0,26,30,13,1
20191102-1031,24,61,438,101,184,0,1,2,24,25,10,4
20191109-1031,19,63,459,87,253,0,0,3,26,28,12,3
20191123-1031,20,87,320,190,114,0,0,7,28,43,19,4
20191129-1031,14,74,325,77,165,1,0,7,31,31,16,2
20190831-1037,27,91,550,177,206,0,0,7,32,43,22,5
20190907-1037,24,95,445,207,172,1,2,5,37,45,20,4
20190914-1037,55,94,643,166,467,0,0,6,17,62,32,9
20190921-1037,28,82,382,106,193,0,0,12,21,42,16,4
20190928-1037,56,81,633,361,217,0,3,5,24,45,25,8
20191005-1037,13,77,339,145,124,0,1,9,27,34,12,3
20191019-1037,51,84,541,193,298,2,1,5,19,51,24,8
20191026-1037,20,91,349,157,130,1,0,15,36,33,16,4
20191102-1037,20,102,611,340,167,1,1,3,44,46,26,4
20191116-1037,14,99,372,245,84,0,1,4,50,36,22,2
20191123-1037,52,102,620,251,293,2,0,9,32,53,28,8
20191130-1037,48,82,578,173,181,2,1,9,31,34,23,9
20190831-1047,24,94,433,298,100,2,0,5,41,40,26,4
20190907-1047,57,95,684,444,152,2,1,8,42,35,29,8
20190914-1047,31,88,688,303,167,0,3,6,38,36,24,5
20190921-1047,23,102,450,333,84,2,0,7,57,30,25,5
20191005-1047,27,91,361,34,235,1,1,4,14,60,20,6
20191012-1047,29,93,539,255,196,3,1,7,32,47,25,4
20191019-1047,52,81,662,206,374,1,0,5,17,50,24,8
20191026-1047,21,67,475,109,242,1,1,3,20,35,16,3
20191105-1047,31,79,583,148,261,0,0,10,22,43,23,5
20191116-1047,44,88,651,268,231,1,0,8,25,47,22,8
20191123-1047,38,97,637,208,330,0,1,5,25,59,28,6
20191129-1047,41,106,604,317,261,2,1,3,40,54,30,6
20190831-1051,56,89,572,250,268,1,1,5,37,37,30,8
20190907-1051,63,78,680,178,368,0,0,6,23,39,25,9
20190921-1051,21,74,472,303,124,0,2,6,28,35,20,3
20190928-1051,23,94,439,307,104,1,0,7,45,34,24,4
20191005-1051,31,70,464,268,158,1,0,7,24,31,18,5
20191012-1051,33,94,672,352,173,2,0,10,38,38,27,6
20191019-1051,45,69,590,312,224,1,1,7,17,37,18,7
20191031-1051,17,96,449,277,176,1,3,7,26,56,26,3
20191109-1051,29,92,306,195,99,3,1,10,41,33,22,6
20191116-1051,31,62,454,194,113,1,1,1,29,23,18,5
20191123-1051,24,76,417,228,163,1,1,5,27,37,22,4
20191130-1051,61,98,598,243,264,4,0,6,32,47,29,10
20191207-1051,23,72,330,230,35,1,0,4,27,29,8,5
20190831-1066,36,124,654,407,214,0,2,6,51,57,38,8
20190906-1066,14,89,503,282,155,1,1,3,34,47,22,2
20190914-1066,45,83,632,341,150,0,0,7,37,31,22,7
20190920-1066,30,68,438,260,95,1,0,2,28,29,17,5
20191005-1066,38,84,638,325,182,1,1,10,36,28,21,6
20191012-1066,59,94,556,315,203,1,1,11,37,39,29,9
20191019-1066,25,83,450,185,174,0,0,4,31,40,25,4
20191102-1066,52,84,610,213,253,1,0,8,17,51,23,8
20191109-1066,20,72,346,194,91,0,1,4,31,28,15,4
20191116-1066,42,78,621,294,215,0,1,7,29,37,23,6
20191123-1066,56,89,577,187,297,2,0,3,29,46,27,8
20191129-1066,31,85,454,253,91,2,0,5,36,37,20,5
20191207-1066,31,79,379,220,144,1,0,3,31,37,20,5
20190831-1067,35,91,510,275,157,3,0,6,27,48,18,5
20190907-1067,45,78,546,172,346,2,0,2,16,50,24,7
20190913-1067,24,102,667,219,228,1,0,8,41,47,26,4
20190921-1067,30,103,460,159,277,1,0,8,26,61,27,5
20190928-1067,24,87,640,281,252,1,0,6,31,44,26,4
20191005-1067,39,91,741,304,259,0,1,5,33,45,24,6
20191019-1067,45,92,644,103,429,1,0,8,15,60,23,7
20191026-1067,7,77,291,80,97,0,1,4,18,44,10,1
20191102-1067,58,89,711,195,496,0,2,3,10,65,29,9
20191109-1067,31,105,585,227,281,0,0,5,29,64,31,5
20191123-1067,7,75,248,63,128,0,1,2,21,43,11,1
20191130-1067,26,93,498,123,264,1,0,5,19,60,20,6
20190829-1071,46,115,693,294,326,0,0,7,38,63,37,7
20190907-1071,0,57,204,79,61,0,1,6,24,20,5,0
20190914-1071,7,99,443,171,119,1,0,6,38,47,15,1
20190921-1071,20,88,431,206,154,0,0,6,33,41,20,3
20191005-1071,0,82,257,110,118,0,0,6,27,42,14,0
20191012-1071,20,75,479,185,240,1,0,9,21,41,17,4
20191019-1071,20,80,496,166,178,1,0,12,29,37,19,3
20191026-1071,10,65,366,136,130,0,0,4,27,27,14,2
20191102-1071,35,100,386,120,156,3,1,11,21,62,17,5
20191113-1071,3,82,383,90,185,1,0,4,27,45,12,1
20191119-1071,24,90,485,250,168,0,4,8,34,42,25,4
20191129-1071,7,66,276,81,106,0,0,5,18,35,9,1
20190829-1077,12,65,332,208,92,0,1,7,33,22,14,3
20190907-1077,29,76,359,232,107,1,0,7,30,30,18,6
20190914-1077,30,88,457,299,131,3,0,5,34,40,21,6
20190921-1077,19,81,437,277,79,1,2,9,42,27,21,4
20190928-1077,21,84,575,354,101,1,0,6,44,26,19,3
20191012-1077,23,101,550,221,218,1,1,5,33,56,26,5
20191019-1077,28,76,417,221,121,2,0,9,26,35,16,4
20191102-1077,42,87,744,418,221,3,2,5,33,42,31,6
20191109-1077,31,81,469,306,165,0,1,5,34,36,23,5
20191116-1077,42,99,598,245,204,2,0,12,36,44,27,6
20191123-1077,56,84,719,308,320,1,1,3,28,40,26,8
20191130-1077,3,91,434,338,78,0,1,4,54,27,23,1
20190829-1086,38,68,402,69,285,0,1,4,10,47,21,6
20190907-1086,13,105,440,245,184,0,1,8,32,58,22,3
20190914-1086,17,90,423,167,206,0,0,8,33,44,26,3
20190921-1086,38,89,325,62,217,3,1,7,15,58,17,6
20190928-1086,20,83,418,89,309,0,2,10,20,49,20,3
20191005-1086,20,77,378,197,181,1,1,4,23,43,19,3
20191019-1086,21,79,299,65,189,1,1,4,23,42,16,3
20191026-1086,43,94,459,179,197,2,0,3,25,55,23,8
20191102-1086,43,96,501,208,252,1,0,2,23,62,26,6
20191114-1086,27,86,433,134,245,1,1,5,22,51,22,5
20191120-1086,49,87,530,172,331,1,0,5,20,53,22,7
20191129-1086,49,79,605,131,455,0,0,2,15,51,23,7
20190831-1096,23,93,536,256,206,2,2,6,39,40,22,5
20190907-1096,35,76,374,288,57,0,0,6,35,27,21,6
20190921-1096,34,96,535,326,145,0,2,7,42,39,30,5
20190928-1096,30,83,490,147,239,3,1,3,31,38,18,6
20191012-1096,24,52,319,209,59,0,0,5,27,15,12,4
20191018-1096,56,75,664,229,260,3,0,5,23,36,21,8
20191026-1096,31,83,539,200,188,1,0,9,37,30,17,5
20191102-1096,41,83,569,224,290,1,2,5,28,40,26,7
20191109-1096,35,71,524,263,156,0,0,11,20,36,16,5
20191115-1096,7,63,253,137,70,1,0,7,26,27,13,1
20191123-1096,28,76,370,278,53,0,0,8,38,25,18,4
20191130-1096,16,80,387,164,188,0,0,3,27,41,18,2
20190831-1107,27,91,557,238,233,0,3,5,28,51,24,5
20190907-1107,20,70,325,111,192,1,0,6,18,38,20,4
20190914-1107,23,85,368,129,149,1,0,8,22,48,17,5
20190921-1107,28,82,450,373,60,0,0,4,36,33,24,4
20190927-1107,17,73,314,140,105,0,0,2,26,37,13,3
20191005-1107,7,80,328,190,66,1,0,11,34,30,12,1
20191019-1107,17,88,354,175,107,0,0,2,33,43,20,3
20191026-1107,0,54,83,60,23,0,0,2,22,21,6,0
20191109-1107,33,73,477,230,196,1,1,6,24,36,19,5
20191116-1107,17,72,322,128,135,0,0,3,32,29,21,3
20191123-1107,24,80,465,285,139,2,0,4,30,37,22,4
20191130-1107,28,76,415,230,182,1,0,4,29,36,22,4
20190829-1110,14,74,296,156,62,1,2,9,26,36,12,2
20190907-1110,14,79,313,199,62,0,2,7,35,32,16,2
20190914-1110,14,75,334,201,110,0,0,6,26,37,21,2
20190921-1110,67,96,869,507,150,2,0,10,38,37,28,10
20190928-1110,17,96,456,228,217,0,0,5,42,43,25,3
20191005-1110,31,97,530,236,256,0,0,2,41,48,27,5
20191017-1110,34,93,486,192,263,0,0,8,34,43,20,6
20191026-1110,42,93,502,176,217,0,3,9,23,57,27,6
20191102-1110,31,89,430,226,200,1,0,8,28,46,24,5
20191116-1110,3,81,284,219,50,0,3,2,36,37,18,1
20191123-1110,35,105,582,383,157,0,0,10,49,39,27,5
20191130-1110,18,94,467,343,58,1,0,5,48,35,24,3
20190829-1128,62,112,798,356,338,0,0,7,38,56,42,10
20190907-1128,48,83,603,262,312,1,0,5,20,47,23,7
20190914-1128,45,89,611,347,198,1,1,8,30,44,24,7
20190921-1128,34,92,536,338,85,0,0,7,42,34,20,6
20190928-1128,56,83,696,377,230,2,1,11,30,37,27,8
20191004-1128,24,102,520,297,126,1,1,5,46,42,29,5
20191019-1128,41,104,628,414,197,1,1,11,40,47,31,6
20191026-1128,63,90,635,229,385,2,1,9,23,48,24,9
20191102-1128,44,75,496,304,164,1,1,5,32,27,16,6
20191108-1128,31,102,525,290,167,0,1,15,38,46,21,5
20191123-1128,34,104,520,319,165,0,0,7,47,42,23,6
20191129-1128,34,97,608,307,232,2,0,11,40,42,28,6
20190829-1129,38,98,581,285,244,0,3,11,37,47,31,6
20190907-1129,0,58,98,43,15,0,0,6,24,21,3,0
20190914-1129,45,81,604,344,189,1,1,7,32,34,21,8
20190921-1129,12,92,334,217,31,0,2,9,51,27,21,2
20190928-1129,15,93,516,330,107,1,1,15,48,32,31,3
20191005-1129,42,85,610,279,308,1,1,10,24,45,24,6
20191012-1129,42,93,627,134,352,1,1,3,24,56,22,7
20191019-1129,38,93,616,299,254,3,1,10,37,40,27,6
20191026-1129,20,79,432,272,73,1,3,9,38,28,17,3
20191102-1129,48,90,755,288,327,3,0,5,25,50,24,8
20191116-1129,45,91,708,356,139,1,2,4,38,41,33,7
20191129-1129,49,83,576,263,289,0,0,8,22,47,30,7
20191207-1129,21,90,439,256,99,0,0,11,43,31,20,3
20190829-1140,24,90,485,242,175,2,1,10,26,49,23,4
20190907-1140,0,72,334,166,107,0,1,10,23,34,13,0
20190914-1140,35,94,530,186,234,0,0,11,30,48,23,5
