#Week,Date,GameID,Site,NumPoss,HomeID,HomeName,HomeScore,AwayID,AwayName,AwayScore,HomeYards,AwayYards,HomePass,AwayPass,HomeRush,AwayRush,HomeTOs,AwayTOs,HomePen,AwayPen,HomePassPlays,AwayPassPlays,HomeRunPlays,AwayRunPlays,HomeFirstDowns,AwayFirstDowns,HomeScores,AwayScores
991,20190824,20190824-1235-1415,NEUTRAL,150,1235,FLORIDA,24,1415,MIAMI (FL),20,367,373,254,214,50,87,4,1,9,14,27,30,28,36,17,20,4,4
991,20190824,20190824-1277-1029,HAWAII,178,1277,HAWAII,45,1029,ARIZONA,38,718,638,436,361,159,178,6,2,7,10,48,39,30,32,31,27,7,6
992,20190829,20190829-1028-1331,ARIZONA ST.,162,1028,ARIZONA ST.,30,1331,KENT ST.,7,456,368,284,80,171,120,1,2,6,5,24,24,46,40,18,11,6,1
992,20190829,20190829-1077-1732,BYU,141,1077,BYU,12,1732,UTAH,30,332,511,208,106,92,262,3,0,7,7,33,16,22,48,14,21,3,5
992,20190829,20190829-1140-1110,CINCINNATI,164,1140,CINCINNATI,24,1110,UCLA,14,485,296,242,156,175,62,2,4,10,9,26,26,49,36,23,12,4,2
992,20190829,20190829-1147-1255,CLEMSON,169,1147,CLEMSON,52,1255,GEORGIA TECH,14,717,373,221,137,411,157,3,4,6,2,30,18,49,45,29,13,8,2
992,20190829,20190829-1697-1670,TEXAS A&M,156,1697,TEXAS A&M,41,1670,TEXAS ST.,7,567,298,232,211,246,8,2,4,3,4,36,46,36,15,22,15,7,1
992,20190829,20190829-1718-1231,TULANE,156,1718,TULANE,42,1231,FIU,14,574,292,195,208,350,59,1,2,12,4,19,34,49,26,28,16,6,2
992,20190830,20190830-1157-1156,NEUTRAL,163,1157,COLORADO,52,1156,COLORADO ST.,31,522,585,232,374,243,131,0,4,4,6,20,47,40,31,23,27,8,5
992,20190830,20190830-1416-1719,MICHIGAN ST.,164,1416,MICHIGAN ST.,28,1719,TULSA,7,410,189,195,153,108,-73,0,3,14,8,38,27,40,25,18,8,6,1
992,20190830,20190830-1466-1559,NEVADA,194,1466,NEVADA,34,1559,PURDUE,31,434,581,295,423,109,96,0,5,11,6,52,52,25,29,19,24,6,5
992,20190830,20190830-1528-1521,OREGON ST.,191,1528,OREGON ST.,36,1521,OKLAHOMA ST.,52,580,623,281,203,167,352,0,0,8,6,49,24,37,52,26,30,6,8
992,20190830,20190830-1587-1400,RUTGERS,172,1587,RUTGERS,48,1400,MASSACHUSETTS,21,605,444,348,121,206,183,3,2,7,8,32,37,43,34,24,19,8,3
992,20190830,20190830-1651-1796,SOUTH FLA.,155,1651,SOUTH FLA.,0,1796,WISCONSIN,49,249,552,131,201,26,234,3,1,9,4,33,26,23,43,9,22,0,7
992,20190830,20190830-1725-1574,ARMY,127,1725,ARMY,14,1574,RICE,7,298,299,53,62,231,181,1,0,4,3,8,14,56,30,17,10,2,1
992,20190830,20190830-1749-1731,WAKE FOREST,213,1749,WAKE FOREST,38,1731,UTAH ST.,35,627,616,401,416,178,180,1,3,1,8,47,48,58,31,30,23,6,5
992,20190831,20190831-1008-1193,NEUTRAL,159,1008,ALABAMA,42,1193,DUKE,3,534,207,367,97,145,107,1,3,8,8,36,22,42,32,30,11,6,1
