295,1721,air-force
1172,1005,akron
1175,1008,alabama
2526,1029,arizona
457,1028,arizona-st
1181,1031,arkansas
1552,1030,arkansas-st
2352,1725,army
827,1037,auburn
1558,1047,ball-st
836,1051,baylor
2536,1066,boise-st
2537,1067,boston-college
1188,1071,bowling-green
1192,1086,buffalo
482,1077,byu
351,1107,california
2103,1129,central-mich
1776,1140,cincinnati
1081,1147,clemson
723,1157,colorado
1085,1156,colorado-st
2113,1164,connecticut
40,1193,duke
1467,1196,east-carolina
1784,1204,eastern-mich
1482,1231,fiu
391,1129,fla-atlantic
1794,1235,florida
2457,1234,florida-st
1763,1096,fresno-st
1490,1257,georgia
2143,1254,georgia-state
51,1255,georgia-tech
62,1277,hawaii
1118,1288,houston
1502,1295,idaho
2163,1301,illinois
759,1306,indiana
71,1312,iowa
2476,1311,iowa-st
1823,1328,kansas
419,1327,kansas-st
774,1331,kent-st
775,1334,kentucky
2335,1671,la-lafayette
1643,1498,la-monroe
89,1366,louisiana-tech
90,1367,louisville
430,1365,lsu
437,1388,marshall
2502,1392,maryland
1152,1400,massachusetts
1154,1404,memphis
105,1415,miami-fl
1160,1414,miami-oh
106,1418,michigan
802,1416,michigan-st
444,1419,middle-tenn
2515,1428,minnesota
2198,1430,mississippi-st
2518,1434,missouri
1356,1726,navy
1262,1463,nebraska
906,1466,nevada
205,1473,new-mexico
204,1472,new-mexico-st
905,1457,north-carolina
913,1490,north-carolina-st
1645,1503,northern-ill
208,1497,north-texas
2614,1509,northwestern
1283,1513,notre-dame
220,1519,ohio
919,1518,ohio-st
574,1522,oklahoma
1652,1521,oklahoma-st
1851,1433,ole-miss
2293,1529,oregon
1963,1528,oregon-st
2296,1539,penn-st
929,1545,pittsburgh
242,1559,purdue
247,1574,rice
2312,1587,rutgers
2642,1626,san-diego-st
1683,1630,san-jose-st
1333,1663,smu
2003,1646,south-ala
1327,1648,south-carolina
955,1657,southern-california
1695,1664,southern-miss
2332,1651,south-fla
1697,1674,stanford
2665,1688,syracuse
1703,1698,tcu
961,1690,temple
1344,1694,tennessee
2673,1703,texas
2014,1697,texas-am
621,1670,texas-st
963,1700,texas-tech
2018,1709,toledo
2020,1716,troy
293,1718,tulane
1353,1719,tulsa
1542,1009,uab
2101,1128,ucf
3,1110,ucla
1627,1465,unlv
2677,1732,utah
2024,1731,utah-st
1704,1704,utep
2737,1706,utsa
1715,1736,vanderbilt
977,1746,virginia
640,1742,virginia-tech
2358,1749,wake-forest
644,1756,washington
2686,1754,washington-st
1377,1772,western-ky
490,1774,western-mich
2692,1768,west-virginia
498,1796,wisconsin
506,1811,wyoming
