1721,Air Force
1005,Akron
1008,Alabama
1006,Alabama A&M
1027,Appalachian State
1029,Arizona
1028,Arizona State
1031,Arkansas
1030,Arkansas State
1725,Army
1037,Auburn
1043,Austin Peay
1047,Ball State
1051,Baylor
1066,Boise State
1067,Boston College
1071,Bowling Green
1086,Buffalo
1077,BYU
1107,California
1115,Campbell
1129,Central Michigan
1458,Charlotte
1693,Chattanooga
1140,Cincinnati
1147,Clemson
1149,Coastal Carolina
1153,Colgate
1157,Colorado
1156,Colorado State
1164,Connecticut
1189,Drake
1193,Duke
1194,Duquesne
1196,East Carolina
1204,Eastern Michigan
1235,Florida
1228,Florida A&M
1229,Florida Atlantic
1231,Florida International
1234,Florida State
1236,Fordham
1096,Fresno State
1244,Furman
1257,Georgia
1253,Georgia Southern
1254,Georgia State
1255,Georgia Tech
1261,Grambling
1277,Hawai'i
1285,Holy Cross
1288,Houston
1290,Howard
1295,Idaho
1301,Illinois
1306,Indiana
1312,Iowa
1311,Iowa State
1317,James Madison
1328,Kansas
1327,Kansas State
1331,Kent State
1334,Kentucky
1346,Lamar
1352,Lehigh
1355,Liberty
1671,Louisiana
1498,Louisiana Monroe
1366,Louisiana Tech
1367,Louisville
1365,LSU
1380,Maine
1388,Marshall
1392,Maryland
1404,Memphis
1415,Miami
1414,Miami (OH)
1418,Michigan
1416,Michigan State
1419,Middle Tennessee
1428,Minnesota
1430,Mississippi State
1434,Missouri
1439,Monmouth
1726,Navy
1490,NC State
1463,Nebraska
1466,Nevada
1469,New Hampshire
1473,New Mexico
1472,New Mexico State
1457,North Carolina
1494,North Dakota
1503,Northern Illinois
1497,North Texas
1509,Northwestern
1513,Notre Dame
1519,Ohio
1518,Ohio State
1522,Oklahoma
1521,Oklahoma State
1523,Old Dominion
1433,Ole Miss
1529,Oregon
1528,Oregon State
1539,Penn State
1545,Pittsburgh
1559,Purdue
1572,Rhode Island
1574,Rice
1575,Richmond
1587,Rutgers
1625,Samford
1626,San Diego State
1630,San José State
1663,SMU
1646,South Alabama
1648,South Carolina
1650,South Dakota
1664,Southern Mississippi
1667,Southern Utah
1651,South Florida
1674,Stanford
1676,Stephen F. Austin
1683,Stony Brook
1688,Syracuse
1698,TCU
1690,Temple
1694,Tennessee
1692,Tennessee Tech
1703,Texas
1697,Texas A&M
1699,Texas Southern
1670,Texas State
1700,Texas Tech
1709,Toledo
1711,Towson
1716,Troy
1718,Tulane
1719,Tulsa
1009,UAB
1108,UC Davis
1128,UCF
1110,UCLA
1400,UMass
1465,UNLV
1657,USC
1732,Utah
1731,Utah State
1704,UTEP
1706,UT San Antonio
1736,Vanderbilt
1739,Villanova
1746,Virginia
1742,Virginia Tech
1741,VMI
1749,Wake Forest
1756,Washington
1754,Washington State
1772,Western Kentucky
1774,Western Michigan
1768,West Virginia
1786,William & Mary
1796,Wisconsin
1811,Wyoming
