1005,#gozips
1008,#rolltide
1009,#goblazers
1028,#RedWolves
1029,#arizonawildcats
1031,#gohogs
1037,#gotigers
1047,#ballstate
1051,#baylor
1066,#boisestate
1067,#bceagles
1071,#bowlinggreen
1077,#byufootball
1086,#UBuffalo
1096,#fresnostate
1107,#calbears
1110,#uclafootball
1128,#goknights
1129,#CMUChippewas
1140,#bearcats
1147,#clemson
1156,#CSURams
1157,#CUFootball
1193,#dukefootball
1196,#eastcarolina
1204,#goeagles
1229,#faufootball
1231,#FIUFootball
1234,#noles
1235,#gators
1257,#godawgs
1277,#UHFB
1295,#vandals
1301,#fightingillini
1306,#hoosierfootball
1312,#hawkeyes
1327,#KansasState
1331,#GoldenFlashes
1334,#ukwildcats
1365,#geauxtigers
1366,#latech
1367,#cardstrong
1388,#marshallu
1392,#terps
1400,#UMass
1404,#memphistigers
1414,#MURedhawks
1415,#canes
1416,#spartans
1418,#goblue
1419,#goBlueRaiders
1428,#goldengophers
1430,#hailstate
1433,#olemiss
1434,#mizzou
1457,#uncfootball
1458,#49ers
1463,#huskers
1465,#UNLV
1466,#battleborn
1472,#NMSU
1473,#lobos
1490,#wolfpack
1497,#meangreen
1498,#warhawks
1503,#NIUfootball
1509,#northwestern
1513,#fightingirish
1518,#buckeyes
1519,#ohiobobcats
1521,#okstate
1522,#sooners
1528,#gobeavs
1529,#ducksfootball
1539,#nittanylions
1545,#pitt
1559,#boilermakers
1574,#ricefootball
1587,#ru
1626,#Aztecs
1630,#sanjosestate
1648,#gamecocks
1651,#bulls
1657,#usctrojans
1663,#SMU
1664,#goldeneagles
1671,#ragincajuns
1674,#stanfordfootball
1688,#sufootball
1690,#templefootball
1694,#vols
1697,#gigem
1698,#gofrogs
1700,#redraiders
1703,#hookem
1704,#minerstrong
1709,#gorockets
1716,#trojans
1718,#rollwave
1719,#tulsafootball
1721,#AFFalcons
1725,#armyfootball
1726,#navyfootball
1731,#aggies
1732,#utahutes
1736,#Vucommodores
1742,#hokies
1746,#UVAFootball
1749,#wakeforest
1754,#gocougs
1756,#huskyfootball
1768,#wvu
1772,#wku
1774,#WMUBroncos
1796,#badgers
1811,#cowboys
