20160903-1005,47,85,664,425,151,0,1,13,38,29,24,7
20160910-1005,10,59,325,136,88,0,1,8,25,21,10,2
20160917-1005,65,84,709,379,145,3,1,13,32,30,26,10
20160924-1005,38,82,495,353,133,0,0,9,43,26,30,6
20161001-1005,31,74,592,237,141,0,1,6,28,32,18,5
20161008-1005,35,77,331,174,125,2,0,1,29,35,16,5
20161015-1005,0,70,343,153,130,0,0,9,31,28,17,0
20161022-1005,35,83,613,352,177,1,1,8,41,30,26,5
20161027-1005,20,97,543,178,128,1,0,4,42,42,18,4
20161102-1005,17,72,523,348,96,0,0,5,36,25,21,3
20161109-1005,28,91,477,197,177,1,3,8,24,50,14,5
20161122-1005,3,71,288,131,95,0,0,7,27,32,14,1
20160903-1008,52,79,511,223,242,1,1,4,18,45,15,8
20160910-1008,38,100,614,351,124,2,1,12,42,39,23,6
20160917-1008,48,98,744,158,334,0,1,9,31,48,22,8
20160924-1008,48,92,592,217,285,0,0,2,34,46,26,8
20161001-1008,34,86,608,315,173,0,1,4,38,37,25,6
20161008-1008,49,66,756,253,264,3,2,7,17,34,16,7
20161015-1008,49,91,786,185,409,1,1,5,28,48,28,7
20161022-1008,33,95,538,164,287,1,0,7,25,57,28,6
20161105-1008,10,82,338,107,216,1,1,6,19,51,16,2
20161112-1008,51,86,625,397,218,1,1,3,41,31,26,9
20161119-1008,31,70,370,136,196,0,1,1,21,37,14,5
20161126-1008,30,92,563,298,203,1,0,4,37,44,26,6
20161203-1008,54,72,573,138,234,3,0,2,20,38,18,9
20161231-1008,24,82,438,57,269,2,0,11,14,50,16,4
20170109-1008,31,87,456,155,221,0,0,9,32,34,16,5
20160901-1027,13,78,386,108,184,1,0,5,23,43,17,2
20160910-1027,31,83,448,185,230,1,0,7,22,48,22,5
20160917-1027,10,87,340,115,144,1,0,8,22,49,17,2
20160924-1027,45,92,813,280,307,2,1,7,31,49,30,7
20161001-1027,17,89,419,143,218,4,0,9,25,48,26,3
20161012-1027,24,76,390,201,171,0,0,5,26,37,20,4
20161022-1027,37,75,552,246,129,3,1,5,25,37,21,7
20161027-1027,34,88,598,199,299,3,1,4,27,47,28,6
20161105-1027,35,77,488,136,303,1,0,9,22,38,18,5
20161112-1027,24,78,478,167,167,1,1,6,28,38,18,4
20161119-1027,42,81,680,208,429,1,0,6,22,47,27,6
20161126-1027,37,89,615,220,384,2,1,6,28,48,22,7
20161217-1027,31,95,540,119,297,0,0,2,33,49,25,5
20160903-1028,44,86,571,180,276,0,1,5,27,46,27,8
20160910-1028,68,108,864,351,301,2,0,6,37,53,34,10
20160916-1028,32,92,578,264,205,0,2,3,31,48,25,7
20160924-1028,51,97,623,290,164,2,0,5,30,50,23,9
20161001-1028,20,84,368,228,75,0,0,5,37,33,16,4
20161008-1028,23,90,403,196,79,3,1,5,39,34,15,5
20161015-1028,16,79,300,149,50,0,0,2,35,28,7,4
