#Week,Date,GameID,Site,NumPoss,HomeID,HomeName,HomeScore,AwayID,AwayName,AwayScore,HomeYards,AwayYards,HomePass,AwayPass,HomeRush,AwayRush,HomeTOs,AwayTOs,HomePen,AwayPen,HomePassPlays,AwayPassPlays,HomeRunPlays,AwayRunPlays,HomeFirstDowns,AwayFirstDowns,HomeScores,AwayScores
209,20040828,20040828-1657-1742,NEUTRAL,147,1657,SOUTHERN CALIFORNIA,24,1742,VIRGINIA TECH,13,509,374,272,153,101,141,0,2,7,6,29,29,29,34,16,18,4,3
210,20040902,20040902-1028-1704,ARIZONA ST.,196,1028,ARIZONA ST.,41,1704,UTEP,9,686,478,356,196,131,87,1,5,6,8,44,44,42,31,26,17,7,2
210,20040902,20040902-1047-1067,BALL ST.,163,1047,BALL ST.,11,1067,BOSTON COLLEGE,19,286,482,147,135,64,205,0,2,5,11,33,23,33,43,12,18,3,3
210,20040902,20040902-1204-1086,EASTERN MICH.,191,1204,EASTERN MICH.,37,1086,BUFFALO,34,532,536,91,174,248,225,4,3,6,3,20,44,52,48,17,25,7,5
210,20040902,20040902-1698-1509,TCU,207,1698,TCU,48,1509,NORTHWESTERN,45,649,797,368,513,157,124,2,1,7,3,38,62,36,38,22,32,8,7
210,20040902,20040902-1732-1697,UTAH,185,1732,UTAH,41,1697,TEXAS A&M,21,644,459,370,270,212,167,0,0,8,9,31,43,45,31,23,17,6,3
210,20040903,20040903-1473-1754,NEW MEXICO,170,1473,NEW MEXICO,17,1754,WASHINGTON ST.,21,444,373,229,240,186,31,4,3,6,6,31,38,43,31,18,14,3,3
210,20040904,20040904-1721-1107,AIR FORCE,160,1721,AIR FORCE,14,1107,CALIFORNIA,56,350,645,89,231,182,342,2,0,6,4,18,18,53,44,18,23,2,8
210,20040904,20040904-1008-1731,ALABAMA,156,1008,ALABAMA,48,1731,UTAH ST.,17,605,327,205,205,255,61,0,2,5,5,22,34,44,25,21,13,8,3
210,20040904,20040904-1031-1472,ARKANSAS,165,1031,ARKANSAS,63,1472,NEW MEXICO ST.,13,620,369,327,161,221,55,0,3,10,5,24,26,54,29,25,13,9,2
210,20040904,20040904-1037-1498,AUBURN,147,1037,AUBURN,31,1498,LA.-MONROE,0,393,318,186,99,194,140,2,3,6,7,24,23,41,35,21,12,5,0
